id,precision,recall,f1
0,0.0869565,0.222222,0.125
1,0.208333,1,0.344828
2,0.533333,0.615385,0.571429
3,0.625,0.5,0.555556
4,0.970588,0.6875,0.804878
5,0.391304,0.5625,0.461538
6,0.072,0.36,0.12
7,1,0.0588235,0.111111
8,0.533333,0.727273,0.615385
9,0.36,0.9,0.514286
10,0.413793,1,0.585366
11,0.261364,0.176923,0.211009
12,0.315789,0.461538,0.375
13,0.928571,0.240741,0.382353
14,0.174242,0.92,0.292994
15,0.145695,0.846154,0.248588
16,0.294118,0.645161,0.40404
17,0.136364,0.545455,0.218182
18,0.141304,1,0.247619
19,1,0.27907,0.436364
20,0.580645,0.947368,0.72
21,0.075,0.9,0.138462
22,0.833333,0.769231,0.8
23,1,0.157895,0.272727
24,1,0.827586,0.90566
25,1,0.62963,0.772727
26,0.333333,0.178571,0.232558
27,0.0721649,0.954545,0.134185
28,0.263158,0.25,0.25641
29,0.394366,0.965517,0.56
30,0.123894,0.933333,0.21875
31,0.857143,1,0.923077
32,0.75,1,0.857143
33,0.272727,0.166667,0.206897
34,0.374101,0.866667,0.522613
35,0.666667,0.666667,0.666667
36,0.441176,0.9375,0.6
37,0.208333,1,0.344828
38,0.0544218,0.8,0.101911
39,0.18239,0.828571,0.298969
40,0.224138,0.590909,0.325
41,0.413793,1,0.585366
42,0.337349,0.595745,0.430769
43,0.9,0.457627,0.606742
44,0.254237,0.633803,0.362903
45,0.0131422,1,0.0259434
46,0.583333,0.304348,0.4
47,1,0.05,0.0952381
48,0.182796,0.809524,0.298246
49,0.814815,0.594595,0.6875
50,1,0.785714,0.88
51,0.206349,0.928571,0.337662
52,1,0.685714,0.813559
53,0.192308,1,0.322581
54,0.365385,1,0.535211
55,1,0.909091,0.952381
56,0.666667,0.375,0.48
57,0.583333,0.0654206,0.117647
58,0.3,0.24,0.266667
59,0.483871,0.441176,0.461538
60,0.6,0.9,0.72
61,0.5,0.5,0.5
62,0.131783,0.607143,0.216561
63,0.290698,0.333333,0.310559
64,0.055,0.366667,0.0956522
65,0.681818,1,0.810811
66,0.25974,0.392157,0.3125
67,1,0.727273,0.842105
68,0.0859375,1,0.158273
69,0.666667,0.153846,0.25
70,0.276786,0.794872,0.410596
71,0.253012,0.33871,0.289655
72,0.356164,0.371429,0.363636
73,0.451613,0.466667,0.459016
74,0.19403,0.8125,0.313253
75,0.4,1,0.571429
76,0.766667,0.92,0.836364
77,0.126316,1,0.224299
78,0.381443,0.578125,0.459627
79,0.305556,0.392857,0.34375
80,0.75,1,0.857143
81,0.0948276,0.733333,0.167939
82,0.68,0.309091,0.425
83,0.5,0.270833,0.351351
84,0.275862,0.8,0.410256
85,0.230769,0.5,0.315789
86,0.197183,0.202899,0.2
87,0.27907,0.75,0.40678
88,0.881188,0.478495,0.620209
89,0.214286,0.46875,0.294118
90,1,0.1,0.181818
91,0.304348,0.291667,0.297872
92,1,0.05,0.0952381
93,1,0.5,0.666667
94,0.956522,1,0.977778
95,1,0.1875,0.315789
96,0.983333,0.967213,0.975207
97,0.792453,0.567568,0.661417
98,0.442623,0.9,0.593407
99,0.421875,0.350649,0.382979
100,0.36,0.75,0.486486
101,1,0.037037,0.0714286
