id,precision,recall,f1
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,1,1,1
5,1,1,1
6,1,1,1
7,1,1,1
8,0.833333,1,0.909091
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,1,1,1
14,0.857143,1,0.923077
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,1
22,1,1,1
23,0.75,1,0.857143
24,0.875,1,0.933333
25,1,1,1
26,0.583333,1,0.736842
27,1,1,1
28,1,1,1
29,1,1,1
30,1,1,1
31,1,1,1
32,1,1,1
33,1,1,1
34,1,1,1
35,0.875,1,0.933333
36,1,1,1
37,1,1,1
38,0.857143,1,0.923077
39,1,1,1
40,0.888889,1,0.941176
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,0.875,1,0.933333
46,1,1,1
47,1,1,1
48,1,1,1
49,0.875,1,0.933333
50,0.888889,1,0.941176
51,1,1,1
52,1,1,1
53,0.888889,1,0.941176
54,1,1,1
55,0.777778,1,0.875
56,1,1,1
57,1,1,1
58,1,1,1
59,0.9,1,0.947368
60,0.8,1,0.888889
61,0.888889,1,0.941176
62,1,1,1
63,0.9,1,0.947368
64,1,1,1
65,1,1,1
66,1,1,1
67,0.333333,1,0.5
68,1,1,1
69,1,1,1
70,1,1,1
71,1,1,1
72,1,1,1
73,0.909091,1,0.952381
74,1,1,1
75,1,1,1
76,1,1,1
77,0.9,1,0.947368
78,1,1,1
79,1,1,1
80,1,1,1
81,1,1,1
82,0.909091,1,0.952381
83,1,1,1
84,1,1,1
85,1,1,1
86,1,1,1
87,1,1,1
88,0.888889,1,0.941176
89,1,1,1
90,1,1,1
91,0.909091,1,0.952381
92,1,1,1
93,1,1,1
94,1,1,1
95,1,1,1
96,1,1,1
97,0.916667,1,0.956522
98,1,0.875,0.933333
99,1,1,1
100,1,1,1
101,0.9,1,0.947368
102,1,1,1
103,0.923077,1,0.96
104,1,1,1
105,1,1,1
106,1,1,1
107,1,1,1
108,1,1,1
109,1,1,1
110,0.923077,1,0.96
111,0.923077,1,0.96
112,1,0.818182,0.9
113,1,1,1
114,0.923077,1,0.96
115,1,1,1
116,1,1,1
117,1,1,1
118,1,0.916667,0.956522
119,0.764706,1,0.866667
120,0.5,1,0.666667
121,0.928571,1,0.962963
122,1,1,1
123,0.764706,1,0.866667
124,1,1,1
125,1,1,1
126,1,1,1
127,1,0.777778,0.875
128,1,1,1
129,1,1,1
130,0.928571,1,0.962963
131,0.933333,1,0.965517
132,0.928571,1,0.962963
133,1,1,1
134,0.0422961,1,0.0811594
135,1,1,1
136,0.933333,1,0.965517
137,1,1,1
138,0.8125,1,0.896552
139,0.736842,1,0.848485
140,1,1,1
141,1,1,1
142,0.923077,1,0.96
143,1,0.928571,0.962963
144,1,1,1
145,0.875,1,0.933333
146,1,0.933333,0.965517
147,1,1,1
148,1,1,1
149,1,1,1
150,0.75,1,0.857143
151,0.9375,1,0.967742
152,0.923077,1,0.96
153,1,1,1
154,1,1,1
155,0.9375,1,0.967742
156,1,1,1
157,1,1,1
158,0.888889,1,0.941176
159,0.0490798,1,0.0935673
160,1,1,1
161,1,1,1
162,1,1,1
163,0.410256,1,0.581818
164,0.761905,1,0.864865
165,1,1,1
166,0.761905,1,0.864865
167,0.357143,1,0.526316
168,0.5,1,0.666667
169,1,1,1
170,0.653846,1,0.790698
171,1,0.941176,0.969697
172,0.772727,1,0.871795
173,1,1,1
174,0.777778,1,0.875
175,1,1,1
176,1,0.941176,0.969697
177,0.916667,1,0.956522
178,1,1,1
179,0.607143,1,0.755556
180,0.846154,0.611111,0.709677
181,1,1,1
182,0.666667,1,0.8
183,1,1,1
184,0.9,1,0.947368
185,0.8,1,0.888889
186,0.695652,1,0.820513
187,0.947368,1,0.972973
188,1,1,1
189,1,1,1
190,1,1,1
191,1,0.8,0.888889
192,0.612903,1,0.76
193,1,1,1
194,0.642857,1,0.782609
195,1,1,1
196,0.8,1,0.888889
197,1,1,1
198,0.941176,1,0.969697
199,1,1,1
200,1,0.947368,0.972973
201,0.888889,1,0.941176
202,0.909091,1,0.952381
203,0.944444,1,0.971429
204,1,1,1
205,1,1,1
206,1,0.928571,0.962963
207,1,0.823529,0.903226
208,1,1,1
209,0.8,1,0.888889
210,1,0.9375,0.967742
211,0.95,1,0.974359
212,1,1,1
213,1,1,1
214,0.947368,1,0.972973
215,0.153846,1,0.266667
216,1,1,1
217,1,1,1
218,1,0.916667,0.956522
219,0.0625,1,0.117647
220,1,1,1
221,1,1,1
222,0.9375,1,0.967742
223,0.952381,1,0.97561
224,1,1,1
225,0.947368,1,0.972973
226,0.7,1,0.823529
227,1,1,1
228,0.9,1,0.947368
229,0.827586,1,0.90566
230,0.833333,1,0.909091
231,1,1,1
232,0.952381,1,0.97561
233,0.531915,1,0.694444
234,0.9375,1,0.967742
235,0.612903,0.95,0.745098
236,1,1,1
237,1,1,1
238,1,1,1
239,1,0.666667,0.8
240,1,0.909091,0.952381
241,0.575758,1,0.730769
242,0.962963,1,0.981132
243,0.96,1,0.979592
244,1,1,1
245,0.958333,1,0.978723
246,0.961538,0.961538,0.961538
247,1,1,1
248,0.961538,1,0.980392
249,0.928571,1,0.962963
250,0.961538,1,0.980392
251,1,0.740741,0.851064
252,0.621622,1,0.766667
253,1,1,1
254,0.941176,0.727273,0.820513
255,0.952381,0.909091,0.930233
256,1,1,1
257,0.888889,1,0.941176
258,1,1,1
259,0.875,1,0.933333
260,0.956522,0.956522,0.956522
261,1,1,1
262,0.964286,1,0.981818
263,0.857143,1,0.923077
264,1,1,1
265,1,0.533333,0.695652
266,0.265306,0.962963,0.416
267,0.933333,1,0.965517
268,1,1,1
269,0.962963,0.962963,0.962963
270,1,1,1
271,0.204082,1,0.338983
272,0.958333,0.884615,0.92
273,1,0.666667,0.8
274,0.432836,0.966667,0.597938
275,1,1,1
276,1,1,1
277,1,1,1
278,0.939394,1,0.96875
279,1,0.875,0.933333
280,0.941176,0.941176,0.941176
281,0.909091,1,0.952381
282,1,1,1
283,0.852941,1,0.920635
284,1,0.888889,0.941176
285,1,0.777778,0.875
286,0.965517,1,0.982456
287,1,1,1
288,0.594595,1,0.745763
289,0.95,1,0.974359
290,0.829268,1,0.906667
291,0.711111,1,0.831169
292,0.969697,0.969697,0.969697
293,1,1,1
294,1,0.903226,0.949153
295,0.970588,1,0.985075
296,1,1,1
297,0.257812,1,0.409938
298,0.175325,0.964286,0.296703
299,0.942857,1,0.970588
300,0.8,0.888889,0.842105
301,0.928571,1,0.962963
302,1,1,1
303,0.923077,1,0.96
304,1,1,1
305,0.423077,1,0.594595
306,0.956522,1,0.977778
307,0.96,0.685714,0.8
308,0.6875,1,0.814815
309,1,0.666667,0.8
310,0.44898,1,0.619718
311,1,0.709677,0.830189
312,0.9,1,0.947368
313,1,0.5,0.666667
314,0.958333,0.638889,0.766667
315,1,0.833333,0.909091
316,0.857143,1,0.923077
317,0.973684,1,0.986667
318,0.970588,1,0.985075
319,0.958333,0.605263,0.741935
320,1,1,1
321,0.868421,0.916667,0.891892
322,0.973684,0.860465,0.91358
323,0.771429,1,0.870968
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,0.75,1,0.857143
329,0.733333,1,0.846154
330,1,0.694444,0.819672
331,0.894737,0.772727,0.829268
332,0.427273,1,0.598726
333,1,1,1
334,1,0.857143,0.923077
335,1,0.37037,0.540541
336,1,0.738095,0.849315
337,0.979167,1,0.989474
338,1,0.820513,0.901408
339,1,1,1
340,0.914894,0.977273,0.945055
341,0.877551,0.955556,0.914894
342,0.954545,0.933333,0.94382
343,0.921053,0.777778,0.843373
344,0.833333,1,0.909091
345,1,1,1
346,0.875,1,0.933333
347,1,0.692308,0.818182
348,1,1,1
349,1,0.928571,0.962963
350,0.978261,1,0.989011
351,1,1,1
352,0.683333,1,0.811881
353,0.97619,1,0.987952
354,1,1,1
355,1,1,1
356,1,1,1
357,0.833333,1,0.909091
358,1,1,1
359,0.897959,0.956522,0.926316
360,0.916667,0.956522,0.93617
361,0.647059,1,0.785714
362,1,1,1
363,0.961538,1,0.980392
364,0.733333,0.66,0.694737
365,0.958333,0.958333,0.958333
366,1,1,1
367,1,1,1
368,1,0.928571,0.962963
369,1,1,1
370,0.932203,1,0.964912
371,0.777778,0.673077,0.721649
372,0.983333,0.967213,0.975207
373,1,1,1
374,1,1,1
375,1,1,1
376,0.3125,1,0.47619
377,0.933333,0.823529,0.875
378,1,1,1
379,1,0.969697,0.984615
380,1,1,1
381,1,0.625,0.769231
382,0.938776,0.901961,0.92
383,1,1,1
384,1,1,1
385,0.2,1,0.333333
386,1,1,1
387,1,1,1
388,1,1,1
389,0.96875,0.5,0.659574
390,1,1,1
391,0.833333,1,0.909091
392,0.970588,1,0.985075
393,0.90411,1,0.94964
394,1,1,1
395,1,1,1
396,1,1,1
397,0.857143,1,0.923077
398,1,1,1
399,0.909091,1,0.952381
400,0.875,1,0.933333
401,1,1,1
402,0.929577,0.90411,0.916667
403,0.943662,0.905405,0.924138
404,0.452703,0.957143,0.614679
405,0.945205,0.971831,0.958333
406,0.923077,1,0.96
407,0.833333,0.925926,0.877193
408,0.857143,1,0.923077
409,1,0.888889,0.941176
410,0.958904,0.972222,0.965517
411,1,1,1
412,0.642857,1,0.782609
413,0.783333,1,0.878505
414,0.94,0.783333,0.854545
415,1,0.5,0.666667
416,1,1,1
417,1,0.933333,0.965517
418,1,0.4375,0.608696
419,0.947368,0.86747,0.90566
420,0.925926,0.961538,0.943396
421,1,1,1
422,1,1,1
423,0.972603,1,0.986111
424,1,1,1
425,1,1,1
426,1,1,1
427,1,1,1
428,1,1,1
429,0.989247,0.978723,0.983957
430,1,0.8,0.888889
431,1,1,1
432,1,1,1
433,0.8,1,0.888889
434,1,0.9,0.947368
435,1,1,1
436,0.666667,1,0.8
437,1,1,1
438,1,1,1
439,0.9,1,0.947368
440,1,1,1
441,1,1,1
442,1,1,1
443,0.947368,0.989011,0.967742
444,0.916667,1,0.956522
445,0.888889,1,0.941176
446,1,0.766667,0.867925
447,1,1,1
448,1,1,1
449,1,1,1
450,0.857143,1,0.923077
451,1,1,1
452,0.948718,0.632479,0.758974
453,1,1,1
454,0.916667,1,0.956522
455,0.939394,0.673913,0.78481
456,1,1,1
457,1,1,1
458,0.857143,1,0.923077
459,1,1,1
460,1,1,1
461,0.9,1,0.947368
462,1,1,1
463,0.75,1,0.857143
464,1,1,1
465,1,1,1
466,1,1,1
467,1,1,1
468,0.916667,0.445946,0.6
469,1,1,1
470,1,1,1
471,1,1,1
472,1,1,1
473,0.928571,1,0.962963
474,1,1,1
475,0.934426,0.548077,0.690909
476,1,0.695652,0.820513
477,1,0.833333,0.909091
478,1,1,1
479,1,1,1
480,1,0.536585,0.698413
481,1,1,1
482,1,1,1
483,1,1,1
484,1,1,1
485,1,0.539823,0.701149
486,0.973451,0.797101,0.876494
487,1,1,1
488,0.923077,1,0.96
489,1,0.8,0.888889
490,1,1,1
491,1,1,1
492,1,1,1
493,1,1,1
494,1,1,1
495,1,0.607143,0.755556
496,1,1,1
497,1,0.685714,0.813559
498,0.764706,1,0.866667
499,0.875,1,0.933333
500,0.909091,1,0.952381
501,0.882353,0.535714,0.666667
502,1,0.9,0.947368
503,0.888889,1,0.941176
504,1,0.96,0.979592
505,1,1,1
506,1,1,1
507,1,1,1
508,0.857143,1,0.923077
509,1,1,1
510,1,1,1
511,0.432836,1,0.604167
512,0.818182,1,0.9
513,0.857143,1,0.923077
514,0.9,1,0.947368
515,1,0.9375,0.967742
516,1,1,1
517,1,1,1
518,0.857143,1,0.923077
519,1,1,1
520,1,1,1
521,1,0.912281,0.954128
522,0.857143,1,0.923077
523,1,1,1
524,0.846154,1,0.916667
525,1,1,1
526,0.71,0.78022,0.743455
527,1,1,1
528,1,1,1
529,1,1,1
530,0.941176,0.533333,0.680851
531,1,1,1
532,1,1,1
533,1,0.909091,0.952381
534,1,1,1
535,1,1,1
536,1,1,1
537,1,1,1
538,1,1,1
539,0.94,0.789916,0.858447
540,1,0.888889,0.941176
541,1,1,1
542,1,0.538462,0.7
543,1,1,1
544,1,1,1
545,0.939394,0.607843,0.738095
546,1,1,1
547,0.913043,1,0.954545
548,1,1,1
549,0.928571,1,0.962963
550,1,1,1
551,0.96875,0.344444,0.508197
552,1,0.979167,0.989474
553,1,1,1
554,1,1,1
555,1,1,1
556,1,1,1
557,1,1,1
558,0.894737,1,0.944444
559,0.972973,0.818182,0.888889
560,1,1,1
561,1,1,1
562,0.954545,0.617647,0.75
563,1,0.555556,0.714286
564,1,0.857143,0.923077
565,1,1,1
566,0.961538,1,0.980392
567,0.891304,1,0.942529
568,0.947368,0.782609,0.857143
569,0.6,1,0.75
570,0.85,0.548387,0.666667
571,1,1,1
572,1,1,1
573,0.909091,1,0.952381
574,0.947368,1,0.972973
575,1,1,1
576,0.341463,1,0.509091
577,1,1,1
578,0.7,1,0.823529
579,1,1,1
580,1,1,1
581,0.916667,1,0.956522
582,1,0.538462,0.7
583,1,1,1
584,1,1,1
585,1,1,1
586,1,0.673913,0.805195
587,1,1,1
588,1,0.424242,0.595745
589,1,1,1
590,1,1,1
591,1,1,1
592,1,1,1
593,0.9375,0.833333,0.882353
594,1,1,1
595,0.897436,1,0.945946
596,1,1,1
597,0.028125,1,0.0547112
598,1,1,1
599,0.962963,0.764706,0.852459
600,0.857143,1,0.923077
601,1,1,1
602,0.75,1,0.857143
603,1,1,1
604,0.818182,1,0.9
605,1,1,1
606,1,1,1
607,1,1,1
608,0.923077,1,0.96
609,1,1,1
610,0.888889,1,0.941176
611,1,1,1
612,0.9,1,0.947368
613,1,1,1
614,1,1,1
615,1,1,1
616,0.875,1,0.933333
617,1,1,1
618,1,0.636364,0.777778
619,1,0.823529,0.903226
620,0.785714,1,0.88
621,0.933333,0.903226,0.918033
622,0.95,0.612903,0.745098
623,1,1,1
624,1,1,1
625,1,1,1
626,1,1,1
627,0.952381,0.952381,0.952381
628,1,1,1
629,1,1,1
630,0.916667,0.916667,0.916667
631,1,1,1
632,1,0.944444,0.971429
633,0.809524,1,0.894737
634,1,1,1
635,1,1,1
636,0.95,0.558824,0.703704
637,1,1,1
638,1,1,1
639,0.689655,1,0.816327
640,0.666667,1,0.8
641,1,1,1
642,1,1,1
643,1,0.705882,0.827586
644,1,1,1
645,1,1,1
646,1,0.888889,0.941176
647,1,1,1
648,0.913043,1,0.954545
649,1,1,1
650,1,1,1
651,1,1,1
652,0.75,1,0.857143
653,0.958333,0.589744,0.730159
