id,precision,recall,f1
0,1,1,1
1,0.962963,0.702703,0.8125
2,0.952381,0.909091,0.930233
3,0.621622,1,0.766667
4,0.8125,1,0.896552
5,0.764706,1,0.866667
6,1,0.9,0.947368
7,1,0.9375,0.967742
8,0.432836,0.966667,0.597938
9,1,0.709677,0.830189
10,0.76,0.35514,0.484076
11,1,1,1
12,0.896552,0.962963,0.928571
13,1,1,1
14,0.947368,0.947368,0.947368
15,1,1,1
16,1,1,1
17,1,0.9,0.947368
18,1,0.928571,0.962963
19,0.966667,1,0.983051
20,1,0.8,0.888889
21,1,0.823529,0.903226
22,1,0.971429,0.985507
23,0.791667,0.826087,0.808511
24,0.244186,1,0.392523
25,1,0.909091,0.952381
26,1,1,1
27,1,0.818182,0.9
28,0.947368,0.923077,0.935065
29,0.962963,0.962963,0.962963
30,1,1,1
31,0.944444,1,0.971429
32,1,1,1
33,0.884615,1,0.938776
34,0.939394,0.607843,0.738095
35,1,1,1
36,1,0.625,0.769231
37,1,0.631579,0.774194
38,0.583333,1,0.736842
39,1,0.820513,0.901408
40,1,0.818182,0.9
41,1,1,1
42,1,0.95,0.974359
43,0.939394,0.673913,0.78481
44,0.934426,0.548077,0.690909
45,1,0.666667,0.8
46,0.909091,1,0.952381
47,1,1,1
48,1,0.916667,0.956522
49,1,1,1
50,0.9,0.818182,0.857143
51,0.791667,0.826087,0.808511
52,0.961538,1,0.980392
53,1,0.928571,0.962963
54,1,1,1
55,0.575758,1,0.730769
56,0.683333,1,0.811881
57,0.583333,1,0.736842
58,0.923077,1,0.96
59,0.970588,1,0.985075
60,1,0.545455,0.705882
61,0.9,1,0.947368
62,0.809524,0.85,0.829268
63,0.714286,0.405405,0.517241
64,1,1,1
65,0.969697,1,0.984615
66,0.961538,1,0.980392
67,1,1,1
68,0.423077,1,0.594595
69,0.961538,1,0.980392
70,0.916667,1,0.956522
71,1,0.538462,0.7
72,0.8125,1,0.896552
73,1,0.833333,0.909091
74,1,0.923077,0.96
75,0.882353,0.535714,0.666667
76,0.892857,1,0.943396
77,1,1,1
78,1,1,1
79,0.432836,1,0.604167
80,0.244186,1,0.392523
81,1,0.9,0.947368
82,0.740741,1,0.851064
83,1,0.923077,0.96
84,0.979167,1,0.989474
85,1,1,1
86,1,0.866667,0.928571
87,0.564516,1,0.721649
88,1,1,1
89,1,1,1
90,0.333333,1,0.5
91,0.923077,1,0.96
92,0.773585,1,0.87234
93,1,1,1
94,1,1,1
95,0.531915,1,0.694444
96,1,0.941176,0.969697
97,1,1,1
98,0.970588,0.6875,0.804878
99,0.954545,1,0.976744
100,0.958904,0.542636,0.693069
101,0.583333,1,0.736842
102,1,0.738095,0.849315
103,0.877193,0.769231,0.819672
104,0.933333,0.823529,0.875
105,1,0.909091,0.952381
106,1,1,1
107,0.952381,0.909091,0.930233
108,0.923077,1,0.96
109,0.622951,0.558824,0.589147
110,1,1,1
111,1,1,1
112,0.774194,1,0.872727
113,0.8125,1,0.896552
114,0.909091,1,0.952381
115,1,0.5,0.666667
116,1,1,1
117,0.96875,1,0.984127
118,1,0.8,0.888889
119,0.4,1,0.571429
120,0.531915,1,0.694444
121,0.795455,1,0.886076
122,1,0.0588235,0.111111
123,0.27451,1,0.430769
124,1,1,1
125,1,0.962963,0.981132
126,0.829268,1,0.906667
127,0.928571,1,0.962963
128,1,1,1
129,1,0.9375,0.967742
130,0.979167,1,0.989474
131,1,1,1
132,1,0.9,0.947368
133,1,0.979167,0.989474
134,1,1,1
135,1,0.226804,0.369748
136,0.961538,1,0.980392
137,1,1,1
138,1,0.576923,0.731707
139,0.341463,1,0.509091
140,1,0.738095,0.849315
141,0.972973,0.818182,0.888889
142,0.829268,1,0.906667
143,1,0.536585,0.698413
144,1,0.533333,0.695652
145,0.882353,0.535714,0.666667
146,1,1,1
147,1,0.685714,0.813559
148,0.47619,1,0.645161
149,0.423077,1,0.594595
150,0.916667,0.445946,0.6
151,1,0.818182,0.9
152,0.952381,0.740741,0.833333
153,0.8125,1,0.896552
154,1,0.606061,0.754717
155,1,0.777778,0.875
156,0.666667,1,0.8
157,0.736842,1,0.848485
158,0.892857,1,0.943396
159,1,1,1
160,0.9,1,0.947368
161,0.939394,0.607843,0.738095
162,0.973684,0.860465,0.91358
163,1,1,1
164,0.773585,1,0.87234
165,0.9,0.9,0.9
166,1,0.818182,0.9
167,1,0.882353,0.9375
168,0.970588,1,0.985075
169,0.833333,1,0.909091
170,0.473684,0.666667,0.553846
171,0.806452,0.961538,0.877193
172,1,0.863636,0.926829
173,0.884615,0.92,0.901961
174,0.928571,1,0.962963
175,0.727273,1,0.842105
176,1,1,1
177,0.961538,1,0.980392
178,1,1,1
179,1,0.622951,0.767677
180,0.911765,1,0.953846
181,1,1,1
182,0.827586,1,0.90566
183,0.427273,1,0.598726
184,0.939394,0.607843,0.738095
185,1,0.944444,0.971429
186,0.971014,0.435065,0.600897
187,0.583333,1,0.736842
188,0.916667,1,0.956522
189,1,1,1
190,1,0.909091,0.952381
191,0.95,0.558824,0.703704
192,0.833333,1,0.909091
193,0.85,0.5,0.62963
194,0.852941,1,0.920635
195,1,0.666667,0.8
196,1,0.904762,0.95
197,0.724138,1,0.84
198,0.526316,1,0.689655
199,1,1,1
200,0.842105,0.761905,0.8
201,1,0.5,0.666667
202,0.44898,1,0.619718
203,1,1,1
204,0.174757,1,0.297521
205,0.944444,0.62963,0.755556
206,0.8125,1,0.896552
207,0.966667,0.805556,0.878788
208,0.773585,0.82,0.796117
209,1,1,1
210,1,0.979167,0.989474
211,1,0.487805,0.655738
212,0.76,1,0.863636
213,0.961538,1,0.980392
214,0.8125,1,0.896552
215,1,0.545455,0.705882
216,1,0.9,0.947368
217,0.75,1,0.857143
218,1,0.363636,0.533333
219,0.90625,1,0.95082
220,0.75,1,0.857143
221,1,1,1
222,1,1,1
223,1,1,1
224,1,0.607143,0.755556
225,0.9375,1,0.967742
226,0.933333,1,0.965517
227,0.526316,1,0.689655
228,0.944444,1,0.971429
229,0.423077,1,0.594595
230,0.8,0.952381,0.869565
231,0.961538,1,0.980392
232,0.916667,0.916667,0.916667
233,1,1,1
234,0.47619,1,0.645161
235,0.204082,1,0.338983
236,1,0.97619,0.987952
237,1,1,1
238,0.88172,0.987952,0.931818
239,1,1,1
240,0.666667,1,0.8
241,0.941176,1,0.969697
242,0.944444,1,0.971429
243,1,1,1
244,0.755556,1,0.860759
245,0.928571,1,0.962963
246,1,0.923077,0.96
247,0.947368,0.989011,0.967742
248,0.942857,1,0.970588
249,1,1,1
250,1,1,1
251,1,0.95,0.974359
252,0.427273,1,0.598726
253,0.909091,1,0.952381
254,1,1,1
255,1,1,1
256,0.947368,1,0.972973
257,0.575758,1,0.730769
258,1,0.408163,0.57971
259,1,1,1
260,1,1,1
261,1,0.941176,0.969697
262,0.588235,1,0.740741
263,1,1,1
264,0.962963,0.928571,0.945455
265,1,0.909091,0.952381
266,0.928571,1,0.962963
267,1,0.6,0.75
268,0.96,0.685714,0.8
269,1,1,1
270,1,1,1
271,1,0.9,0.947368
272,0.807692,1,0.893617
273,1,0.391304,0.5625
274,0.782609,1,0.878049
275,1,1,1
276,0.423077,1,0.594595
277,1,1,1
278,1,0.666667,0.8
279,0.149254,1,0.25974
280,1,0.709677,0.830189
281,0.583333,1,0.736842
