id,precision,recall,f1
0,0.5,1,0.666667
1,1,0.473684,0.642857
2,0.108108,0.842105,0.191617
3,0.00993377,1,0.0196721
4,0.857143,1,0.923077
5,0.040404,1,0.0776699
6,0.152174,1,0.264151
7,1,1,1
8,0.205607,1,0.341085
9,0.018648,1,0.0366133
10,0.181818,1,0.307692
11,0.363636,1,0.533333
12,0.428571,1,0.6
13,0.481481,1,0.65
14,0.233333,1,0.378378
15,0.0230769,1,0.0451128
16,0.00907716,1,0.017991
17,0.146341,1,0.255319
18,0.230769,1,0.375
19,0.0833333,1,0.153846
20,0.123077,1,0.219178
21,0.428571,1,0.6
22,0.380952,0.842105,0.52459
23,0.0514286,1,0.0978261
24,0.017316,1,0.0340426
25,0.619048,1,0.764706
26,0.375,0.272727,0.315789
27,0.045977,1,0.0879121
28,0.0413223,1,0.0793651
29,0.194444,0.724138,0.306569
30,0.2,0.823529,0.321839
31,0.0139211,1,0.02746
32,0.0451128,1,0.0863309
33,0.352941,1,0.521739
34,0.454545,0.588235,0.512821
35,0.163265,1,0.280702
36,0.0542636,1,0.102941
37,0.0740741,0.4,0.125
38,0.212121,1,0.35
39,0.0857143,0.545455,0.148148
40,0.0391304,1,0.0753138
41,0.208333,0.862069,0.33557
42,0.666667,0.857143,0.75
43,0.25,0.833333,0.384615
44,0.5,1,0.666667
45,0.0132075,1,0.0260708
46,0.189655,0.916667,0.314286
47,0.0833333,1,0.153846
48,0.357143,1,0.526316
49,0.526316,0.909091,0.666667
50,0.193548,1,0.324324
51,0.259259,1,0.411765
52,0.117647,1,0.210526
53,0.109375,1,0.197183
54,0.150943,1,0.262295
55,0.0157895,1,0.0310881
56,0.0821918,1,0.151899
57,0.0897436,1,0.164706
58,0.30303,1,0.465116
59,0.0148515,1,0.0292683
60,0.0681818,1,0.12766
61,0.0714286,1,0.133333
62,0.555556,0.555556,0.555556
63,0.0481928,1,0.091954
64,0.615385,1,0.761905
65,0.375,1,0.545455
66,0.00914634,1,0.0181269
67,0.212121,1,0.35
68,0.100917,0.916667,0.181818
69,0.16129,0.384615,0.227273
70,0.833333,1,0.909091
71,0.00431965,1,0.00860215
72,0.175,0.777778,0.285714
73,0.75,1,0.857143
74,1,1,1
75,0.0280374,1,0.0545455
76,0.108108,0.888889,0.192771
77,0.4375,1,0.608696
78,0.823529,1,0.903226
79,0.142857,0.875,0.245614
80,0.194444,1,0.325581
81,0.193548,1,0.324324
82,0.0397351,1,0.0764331
83,0.0909091,1,0.166667
84,0.882353,1,0.9375
85,0.666667,1,0.8
86,0.0633803,1,0.119205
87,0.0239521,1,0.0467836
88,1,0.875,0.933333
89,0.194444,1,0.325581
90,0.275862,1,0.432432
91,0.285714,1,0.444444
92,0.152174,1,0.264151
93,0.295455,0.8125,0.433333
94,0.236842,0.9,0.375
95,0.875,1,0.933333
96,0.2,0.4,0.266667
97,0.025,1,0.0487805
98,0.666667,1,0.8
99,0.190476,0.235294,0.210526
100,0.5,1,0.666667
101,0.125,0.9,0.219512
102,0.162162,1,0.27907
103,0.657895,0.961538,0.78125
104,0.75,1,0.857143
105,0.875,1,0.933333
106,0.0190217,0.7,0.037037
107,0.0792079,1,0.146789
108,0.241379,0.823529,0.373333
109,0.115385,1,0.206897
110,0.125,1,0.222222
111,0.0428571,1,0.0821918
112,0.0909091,1,0.166667
113,0.22449,1,0.366667
114,0.222222,1,0.363636
115,1,1,1
116,0.233333,0.875,0.368421
117,1,0.857143,0.923077
118,0.0125261,1,0.0247423
119,0.166667,0.5625,0.257143
120,0.5,1,0.666667
121,0.4,1,0.571429
122,0.666667,1,0.8
123,0.75,1,0.857143
124,0.666667,1,0.8
125,0.0645161,1,0.121212
126,1,1,1
127,0.24,1,0.387097
128,0.5,1,0.666667
129,0.214286,1,0.352941
130,0.27027,0.454545,0.338983
131,0.0338028,0.705882,0.0645161
132,0.0837696,1,0.154589
133,0.0895522,1,0.164384
134,0.230769,0.176471,0.2
135,0.117647,1,0.210526
136,0.0240964,1,0.0470588
137,0.156863,1,0.271186
138,0.0636364,1,0.119658
139,0.225806,0.875,0.358974
140,0.0697674,1,0.130435
141,0.047619,1,0.0909091
142,0.133333,1,0.235294
143,0.777778,0.777778,0.777778
144,0.418182,0.766667,0.541176
145,0.333333,0.833333,0.47619
146,0.666667,1,0.8
147,0.473684,1,0.642857
148,0.00950872,1,0.0188383
149,0.147059,0.9375,0.254237
150,0.259259,1,0.411765
151,0.857143,1,0.923077
152,0.0720721,1,0.134454
153,0.458333,0.647059,0.536585
154,0.179487,1,0.304348
155,0.145455,0.888889,0.25
156,0.545455,1,0.705882
157,0.333333,1,0.5
158,0.0306122,1,0.0594059
159,0.352941,0.631579,0.45283
160,0.428571,1,0.6
161,0.533333,1,0.695652
162,1,1,1
163,0.129032,1,0.228571
164,0.0555556,0.3,0.09375
165,0.25,1,0.4
166,0.666667,1,0.8
167,0.15625,1,0.27027
168,0.317073,1,0.481481
169,0.08,1,0.148148
170,0.857143,1,0.923077
171,0.333333,1,0.5
172,0.5,1,0.666667
173,1,1,1
174,0.727273,1,0.842105
175,0.4,1,0.571429
176,0.6,0.882353,0.714286
177,0.0429448,1,0.0823529
178,0.181818,1,0.307692
179,0.625,0.555556,0.588235
180,0.352941,1,0.521739
181,0.28125,1,0.439024
182,1,1,1
183,1,0.1,0.181818
184,0.26087,1,0.413793
185,0.2,1,0.333333
186,0.233333,1,0.378378
187,0.135802,1,0.23913
188,0.347826,1,0.516129
189,0.2,1,0.333333
190,0.571429,1,0.727273
191,0.016,1,0.0314961
192,0.388889,0.7,0.5
193,0.157895,1,0.272727
194,0.127273,1,0.225806
195,0.072,1,0.134328
196,0.25,1,0.4
197,0.212121,1,0.35
198,1,1,1
199,0.326087,1,0.491803
200,0.103774,1,0.188034
201,1,1,1
202,0.533333,1,0.695652
203,0.0645161,1,0.121212
204,0.185714,0.866667,0.305882
205,0.0320285,1,0.062069
206,0.583333,1,0.736842
207,0.1875,0.857143,0.307692
208,0.666667,1,0.8
209,0.137255,1,0.241379
210,0.636364,0.875,0.736842
211,1,0.75,0.857143
212,1,0.833333,0.909091
213,0.416667,0.833333,0.555556
214,0.652174,0.9375,0.769231
215,0.0775194,1,0.143885
216,0.294118,0.666667,0.408163
217,0.642857,1,0.782609
218,0.0225564,1,0.0441176
219,0.28,1,0.4375
220,0.0967742,1,0.176471
221,0.636364,0.875,0.736842
222,0.209302,1,0.346154
223,0.304348,0.875,0.451613
224,0.0945946,1,0.17284
225,0.126761,1,0.225
226,0.0695187,0.928571,0.129353
227,0.037037,1,0.0714286
228,0.3,0.923077,0.45283
229,0.193548,1,0.324324
230,0.666667,1,0.8
231,0.204545,1,0.339623
232,0.333333,0.9,0.486486
233,0.210526,0.888889,0.340426
234,0.269231,0.777778,0.4
235,0.113924,0.818182,0.2
236,0.285714,0.857143,0.428571
237,0.36,1,0.529412
238,0.0547945,1,0.103896
239,0.12069,1,0.215385
240,0.229508,1,0.373333
241,0.272727,1,0.428571
242,0.457143,1,0.627451
243,0.0909091,1,0.166667
244,0.106667,1,0.192771
245,0.148936,1,0.259259
246,0.181818,1,0.307692
247,0.113208,1,0.20339
248,0.207547,1,0.34375
249,1,0.875,0.933333
