id,precision,recall,f1
0,0.000294175,1,0.000588178
1,1,1,1
2,1,1,1
3,0.6,1,0.75
4,0.0121951,1,0.0240964
5,1,1,1
6,0.142857,1,0.25
7,0.75,1,0.857143
8,1,1,1
9,0.0120482,1,0.0238095
10,0.00278293,1,0.00555042
11,0.214286,1,0.352941
12,0.214286,1,0.352941
13,0.5,1,0.666667
14,0.75,1,0.857143
15,0.0833333,1,0.153846
16,0.000377311,1,0.000754337
17,0.0205479,1,0.0402685
18,0.00410959,1,0.00818554
19,1,1,1
20,0.0147783,1,0.0291262
21,0.0526316,1,0.1
22,0.00126689,1,0.00253058
23,0.6,1,0.75
24,0.1,1,0.181818
25,0.0882353,1,0.162162
26,0.75,1,0.857143
27,0.6,1,0.75
28,0.230769,1,0.375
29,0.0405405,1,0.0779221
30,0.00539568,1,0.0107335
31,1,1,1
32,0.75,1,0.857143
33,0.75,1,0.857143
34,1,1,1
35,1,1,1
36,0.0545455,1,0.103448
37,1,1,1
38,0.75,1,0.857143
39,0.00787402,1,0.015625
40,0.136364,1,0.24
41,0.00353774,1,0.00705053
42,0.00261324,1,0.00521286
43,0.5,1,0.666667
44,0.75,1,0.857143
45,0.75,1,0.857143
46,0.6,1,0.75
47,0.75,1,0.857143
48,0.375,1,0.545455
49,0.75,1,0.857143
50,0.00279851,1,0.0055814
51,0.6,1,0.75
52,1,1,1
53,0.75,1,0.857143
54,0.00207326,1,0.00413793
55,0.6,1,0.75
56,0.75,1,0.857143
57,0.00130265,1,0.00260191
58,0.0394737,1,0.0759494
59,0.0833333,1,0.153846
60,0.75,1,0.857143
61,0.6,1,0.75
62,1,1,1
63,0.00261324,1,0.00521286
64,0.142857,1,0.25
65,0.214286,1,0.352941
66,0.75,1,0.857143
67,0.5,1,0.666667
68,0.0517241,1,0.0983607
69,0.00952381,1,0.0188679
70,0.00529101,1,0.0105263
71,1,1,1
72,1,1,1
73,1,1,1
74,0.0157895,1,0.0310881
75,0.125,1,0.222222
76,0.00634249,1,0.012605
77,0.00151439,1,0.00302419
78,0.00121803,1,0.00243309
79,0.75,1,0.857143
80,0.6,1,0.75
81,0.75,1,0.857143
82,0.75,1,0.857143
83,0.75,1,0.857143
84,0.1875,1,0.315789
85,0.00343249,1,0.00684151
86,1,1,1
87,0.0174419,1,0.0342857
88,0.0340909,1,0.0659341
89,0.75,1,0.857143
90,0.0384615,1,0.0740741
91,0.5,1,0.666667
92,1,1,1
93,0.333333,1,0.5
94,0.00125786,1,0.00251256
95,0.75,1,0.857143
96,0.115385,1,0.206897
97,0.0638298,1,0.12
98,0.000831255,1,0.00166113
99,0.06,1,0.113208
100,0.2,1,0.333333
101,0.00140187,1,0.00279981
102,0.75,1,0.857143
103,1,1,1
104,0.75,1,0.857143
105,0.00434783,1,0.00865801
106,0.0810811,1,0.15
107,0.0454545,1,0.0869565
108,0.0212766,1,0.0416667
109,0.75,1,0.857143
110,1,1,1
111,0.0638298,1,0.12
112,0.012605,1,0.0248963
113,0.0194805,1,0.0382166
114,0.75,1,0.857143
115,0.00403226,1,0.00803213
116,0.0243902,1,0.047619
117,0.00655022,1,0.0130152
118,0.5,1,0.666667
119,0.00328587,1,0.00655022
120,1,1,1
121,0.00224719,1,0.0044843
122,1,1,1
123,0.00166482,1,0.0033241
124,0.047619,1,0.0909091
125,0.0100334,1,0.0198675
126,1,1,1
127,0.5,1,0.666667
128,0.00320171,1,0.00638298
129,1,1,1
130,0.0638298,1,0.12
131,0.6,1,0.75
132,0.00674157,1,0.0133929
133,1,1,1
134,1,1,1
135,1,1,1
136,0.6,1,0.75
137,0.00923077,1,0.0182927
138,1,1,1
139,0.000383485,1,0.000766675
140,0.75,1,0.857143
141,0.8,1,0.888889
142,0.000877578,1,0.00175362
143,0.00542741,1,0.0107962
144,1,1,1
145,0.00239234,1,0.00477327
146,0.571429,1,0.727273
147,0.666667,1,0.8
148,1,1,1
149,0.8,1,0.888889
150,0.8,1,0.888889
151,1,1,1
152,0.0512821,1,0.097561
153,1,1,1
154,1,1,1
155,0.5,1,0.666667
156,0.8,1,0.888889
157,0.363636,1,0.533333
158,0.00218221,1,0.00435493
159,0.0166667,1,0.0327869
160,0.00225479,1,0.00449944
161,0.444444,1,0.615385
162,0.00189633,1,0.00378549
163,0.666667,1,0.8
164,0.0248447,1,0.0484848
165,1,1,1
166,0.363636,1,0.533333
167,1,1,1
168,0.571429,1,0.727273
169,1,1,1
170,1,1,1
171,0.363636,1,0.533333
172,0.129032,1,0.228571
173,0.00152149,1,0.00303836
174,0.8,1,0.888889
175,0.2,1,0.333333
176,0.0645161,1,0.121212
177,0.8,1,0.888889
178,0.8,1,0.888889
179,0.00196657,1,0.00392542
180,0.571429,1,0.727273
181,0.16,1,0.275862
182,1,1,1
183,0.00529801,1,0.0105402
184,0.0027027,1,0.00539084
185,0.0212766,1,0.0416667
186,1,1,1
187,0.027972,1,0.0544218
188,0.00383142,1,0.00763359
189,1,1,1
190,1,1,1
191,0.003367,1,0.00671141
