id,precision,recall,f1
0,0.00028777,1,0.000575374
1,1,1,1
2,1,1,1
3,0.6,1,0.75
4,0.00587084,1,0.0116732
5,1,1,1
6,1,1,1
7,0.75,1,0.857143
8,0.75,1,0.857143
9,1,1,1
10,1,1,1
11,0.75,1,0.857143
12,0.75,1,0.857143
13,0.0126582,1,0.025
14,0.25,1,0.4
15,0.75,1,0.857143
16,1,1,1
17,1,1,1
18,1,1,1
19,0.75,1,0.857143
20,0.75,1,0.857143
21,0.6,1,0.75
22,1,1,1
23,0.6,1,0.75
24,1,1,1
25,0.00254669,1,0.00508044
26,0.75,1,0.857143
27,0.6,1,0.75
28,1,1,1
29,0.75,1,0.857143
30,0.0151515,1,0.0298507
31,1,1,1
32,0.75,1,0.857143
33,0.0124481,1,0.0245902
34,1,1,1
35,1,1,1
36,0.0652174,1,0.122449
37,1,1,1
38,0.75,1,0.857143
39,0.0275229,1,0.0535714
40,0.75,1,0.857143
41,0.75,1,0.857143
42,0.75,1,0.857143
43,0.00458716,1,0.00913242
44,0.75,1,0.857143
45,0.75,1,0.857143
46,0.6,1,0.75
47,0.75,1,0.857143
48,1,1,1
49,0.75,1,0.857143
50,1,1,1
51,0.6,1,0.75
52,1,1,1
53,0.6,1,0.75
54,1,1,1
55,0.6,1,0.75
56,0.75,1,0.857143
57,0.75,1,0.857143
58,1,1,1
59,1,1,1
60,0.75,1,0.857143
61,0.6,1,0.75
62,0.6,1,0.75
63,1,1,1
64,0.75,1,0.857143
65,0.000508647,1,0.00101678
66,1,1,1
67,0.000709891,1,0.00141878
68,1,1,1
69,0.0441176,1,0.084507
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,0.75,1,0.857143
75,0.5,1,0.666667
76,1,1,1
77,1,1,1
78,1,1,1
79,0.75,1,0.857143
80,0.6,1,0.75
81,0.6,1,0.75
82,0.6,1,0.75
83,0.75,1,0.857143
84,1,1,1
85,0.75,1,0.857143
86,1,1,1
87,0.75,1,0.857143
88,0.6,1,0.75
89,0.75,1,0.857143
90,0.0576923,1,0.109091
91,0.75,1,0.857143
92,1,1,1
93,0.333333,1,0.5
94,1,1,1
95,0.75,1,0.857143
96,0.0357143,1,0.0689655
97,0.000945477,1,0.00188917
98,0.00140121,1,0.00279851
99,0.75,1,0.857143
100,0.5,1,0.666667
101,0.75,1,0.857143
102,1,1,1
103,1,1,1
104,0.75,1,0.857143
105,0.6,1,0.75
106,0.75,1,0.857143
107,0.0461538,1,0.0882353
108,0.0288462,1,0.0560748
109,0.75,1,0.857143
110,1,1,1
111,0.428571,1,0.6
112,1,1,1
113,0.75,1,0.857143
114,0.75,1,0.857143
115,1,1,1
116,0.428571,1,0.6
117,1,1,1
118,0.6,1,0.75
119,1,1,1
120,0.75,1,0.857143
121,0.75,1,0.857143
122,1,1,1
123,0.00198544,1,0.00396301
124,0.75,1,0.857143
125,0.75,1,0.857143
126,1,1,1
127,0.6,1,0.75
128,1,1,1
129,1,1,1
130,1,1,1
131,0.6,1,0.75
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,0.6,1,0.75
137,0.75,1,0.857143
138,1,1,1
139,0.000525578,1,0.0010506
140,0.176471,1,0.3
141,0.00198906,1,0.00397022
142,0.571429,1,0.727273
143,0.00503778,1,0.0100251
144,1,1,1
145,1,1,1
146,0.00119474,1,0.00238663
147,0.666667,1,0.8
148,1,1,1
149,0.8,1,0.888889
150,0.8,1,0.888889
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,0.5,1,0.666667
156,0.8,1,0.888889
157,0.571429,1,0.727273
158,0.666667,1,0.8
159,0.666667,1,0.8
160,0.00221117,1,0.00441258
161,0.444444,1,0.615385
162,0.5,1,0.666667
163,0.5,1,0.666667
164,0.8,1,0.888889
165,1,1,1
166,0.0110193,1,0.0217984
167,1,1,1
168,0.571429,1,0.727273
169,1,1,1
170,1,1,1
171,0.666667,1,0.8
172,1,1,1
173,0.8,1,0.888889
174,0.8,1,0.888889
175,0.000777152,1,0.0015531
176,0.0634921,1,0.119403
177,0.8,1,0.888889
178,0.8,1,0.888889
179,0.571429,1,0.727273
180,0.571429,1,0.727273
181,0.8,1,0.888889
182,1,1,1
183,1,1,1
184,1,1,1
185,0.0588235,1,0.111111
186,1,1,1
187,1,1,1
188,0.666667,1,0.8
189,0.8,1,0.888889
190,0.8,1,0.888889
191,0.00386473,1,0.00769971
192,0.00143062,1,0.00285714
193,0.000548923,1,0.00109724
194,0.571429,1,0.727273
195,1,1,1
196,0.8,1,0.888889
197,0.666667,1,0.8
198,1,1,1
199,0.00115108,1,0.00229951
200,0.00468384,1,0.00932401
201,0.8,1,0.888889
202,0.666667,1,0.8
203,1,1,1
204,1,1,1
205,0.666667,1,0.8
206,0.571429,1,0.727273
207,0.0126183,1,0.0249221
208,0.571429,1,0.727273
209,0.00352113,1,0.00701754
210,0.571429,1,0.727273
211,0.8,1,0.888889
212,0.5,1,0.666667
213,0.75,1,0.857143
214,1,1,1
215,0.0199005,1,0.0390244
216,0.4,1,0.571429
217,1,1,1
218,0.8,1,0.888889
219,0.8,1,0.888889
220,1,1,1
221,1,1,1
222,0.666667,1,0.8
223,0.666667,1,0.8
224,1,1,1
225,0.5,1,0.666667
226,0.8,1,0.888889
227,0.0588235,1,0.111111
228,0.0353982,1,0.0683761
229,1,1,1
230,0.00209497,1,0.00418118
231,1,1,1
232,0.8,1,0.888889
233,1,1,1
234,0.5,1,0.666667
235,0.4,1,0.571429
236,1,1,1
237,0.210526,1,0.347826
238,1,1,1
239,0.8,1,0.888889
240,0.5,1,0.666667
241,0.8,1,0.888889
242,1,1,1
243,0.666667,1,0.8
244,1,1,1
245,1,1,1
246,0.75,1,0.857143
247,0.8,1,0.888889
248,1,1,1
249,0.666667,1,0.8
250,0.444444,1,0.615385
251,1,1,1
252,0.571429,1,0.727273
253,1,1,1
254,0.8,1,0.888889
255,1,1,1
256,0.666667,1,0.8
257,0.8,1,0.888889
258,0.6,1,0.75
259,1,1,1
260,0.5,1,0.666667
261,1,1,1
262,0.6,1,0.75
263,0.363636,1,0.533333
264,0.666667,1,0.8
265,1,1,1
266,0.000713903,1,0.00142679
267,1,1,1
268,0.75,1,0.857143
269,0.666667,1,0.8
270,0.0597015,1,0.112676
271,0.8,1,0.888889
272,0.5,1,0.666667
273,1,1,1
274,1,1,1
275,0.666667,1,0.8
276,1,1,1
277,1,1,1
278,0.8,1,0.888889
279,0.285714,1,0.444444
280,1,1,1
281,0.666667,1,0.8
282,0.6,1,0.75
283,0.0519481,1,0.0987654
284,0.666667,1,0.8
285,1,1,1
286,0.000631413,1,0.00126203
287,0.8,1,0.888889
288,0.571429,1,0.727273
289,1,1,1
290,1,1,1
291,0.8,1,0.888889
292,0.8,1,0.888889
