id,precision,recall,f1
0,0.000319251,1,0.000638298
1,1,1,1
2,1,1,1
3,0.6,1,0.75
4,0.0198675,1,0.038961
5,1,1,1
6,1,1,1
7,0.75,1,0.857143
8,1,1,1
9,1,1,1
10,1,1,1
11,0.75,1,0.857143
12,0.75,1,0.857143
13,0.5,1,0.666667
14,1,1,1
15,0.75,1,0.857143
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,0.75,1,0.857143
21,0.6,1,0.75
22,1,1,1
23,0.6,1,0.75
24,1,1,1
25,0.0882353,1,0.162162
26,0.75,1,0.857143
27,0.6,1,0.75
28,1,1,1
29,0.75,1,0.857143
30,0.00835655,1,0.0165746
31,1,1,1
32,0.75,1,0.857143
33,0.75,1,0.857143
34,1,1,1
35,1,1,1
36,0.0625,1,0.117647
37,1,1,1
38,0.75,1,0.857143
39,0.0084507,1,0.0167598
40,0.75,1,0.857143
41,0.75,1,0.857143
42,0.75,1,0.857143
43,0.75,1,0.857143
44,0.75,1,0.857143
45,0.75,1,0.857143
46,0.6,1,0.75
47,0.75,1,0.857143
48,1,1,1
49,0.75,1,0.857143
50,1,1,1
51,0.6,1,0.75
52,1,1,1
53,1,1,1
54,1,1,1
55,0.6,1,0.75
56,0.75,1,0.857143
57,0.75,1,0.857143
58,1,1,1
59,1,1,1
60,0.75,1,0.857143
61,0.6,1,0.75
62,1,1,1
63,1,1,1
64,0.75,1,0.857143
65,0.272727,1,0.428571
66,1,1,1
67,0.5,1,0.666667
68,1,1,1
69,0.0132159,1,0.026087
70,1,1,1
71,1,1,1
72,1,1,1
73,1,1,1
74,0.75,1,0.857143
75,0.5,1,0.666667
76,1,1,1
77,1,1,1
78,1,1,1
79,0.75,1,0.857143
80,0.6,1,0.75
81,0.75,1,0.857143
82,0.75,1,0.857143
83,0.75,1,0.857143
84,1,1,1
85,0.75,1,0.857143
86,1,1,1
87,0.75,1,0.857143
88,0.6,1,0.75
89,0.75,1,0.857143
90,0.0517241,1,0.0983607
91,0.75,1,0.857143
92,1,1,1
93,0.5,1,0.666667
94,1,1,1
95,0.75,1,0.857143
96,0.130435,1,0.230769
97,0.0810811,1,0.15
98,0.00357995,1,0.00713436
99,0.75,1,0.857143
100,0.6,1,0.75
101,0.75,1,0.857143
102,1,1,1
103,1,1,1
104,0.75,1,0.857143
105,0.6,1,0.75
106,0.75,1,0.857143
107,0.046875,1,0.0895522
108,0.025641,1,0.05
109,0.75,1,0.857143
110,1,1,1
111,0.428571,1,0.6
112,1,1,1
113,0.75,1,0.857143
114,0.75,1,0.857143
115,1,1,1
116,0.0267857,1,0.0521739
117,1,1,1
118,0.6,1,0.75
119,1,1,1
120,1,1,1
121,0.75,1,0.857143
122,1,1,1
123,0.00190597,1,0.00380469
124,0.75,1,0.857143
125,0.75,1,0.857143
126,1,1,1
127,0.6,1,0.75
128,1,1,1
129,1,1,1
130,1,1,1
131,0.6,1,0.75
132,1,1,1
133,1,1,1
134,1,1,1
135,1,1,1
136,0.6,1,0.75
137,0.5,1,0.666667
138,1,1,1
139,0.000469631,1,0.00093882
140,0.75,1,0.857143
141,0.8,1,0.888889
142,0.000960154,1,0.00191847
143,0.00554785,1,0.0110345
144,1,1,1
145,1,1,1
146,0.666667,1,0.8
147,0.666667,1,0.8
148,1,1,1
149,0.8,1,0.888889
150,0.8,1,0.888889
151,1,1,1
152,1,1,1
153,1,1,1
154,1,1,1
155,0.5,1,0.666667
156,0.8,1,0.888889
157,0.571429,1,0.727273
158,0.666667,1,0.8
159,0.666667,1,0.8
160,0.00232558,1,0.00464037
161,0.444444,1,0.615385
162,0.5,1,0.666667
163,0.8,1,0.888889
164,0.0408163,1,0.0784314
165,1,1,1
166,0.363636,1,0.533333
167,1,1,1
168,0.571429,1,0.727273
169,1,1,1
170,1,1,1
171,0.666667,1,0.8
172,1,1,1
173,0.8,1,0.888889
174,0.8,1,0.888889
175,0.222222,1,0.363636
176,0.0645161,1,0.121212
177,0.8,1,0.888889
178,0.8,1,0.888889
179,0.571429,1,0.727273
180,0.571429,1,0.727273
181,0.8,1,0.888889
182,1,1,1
183,1,1,1
184,1,1,1
185,0.045977,1,0.0879121
186,1,1,1
187,1,1,1
188,0.666667,1,0.8
189,1,1,1
190,1,1,1
191,0.00356824,1,0.00711111
192,0.8,1,0.888889
193,0.137931,1,0.242424
194,0.571429,1,0.727273
195,1,1,1
196,0.8,1,0.888889
197,0.666667,1,0.8
198,1,0.75,0.857143
199,0.571429,1,0.727273
200,0.00527704,1,0.0104987
201,0.8,1,0.888889
202,0.666667,1,0.8
203,1,1,1
204,1,1,1
205,0.666667,1,0.8
206,0.666667,1,0.8
207,0.6,0.75,0.666667
208,0.571429,1,0.727273
209,0.00351185,1,0.00699913
210,0.571429,1,0.727273
211,0.8,1,0.888889
212,0.571429,1,0.727273
213,0.75,1,0.857143
214,1,1,1
215,0.0160643,1,0.0316206
216,0.4,1,0.571429
217,1,1,1
218,0.8,1,0.888889
219,0.8,1,0.888889
220,1,1,1
221,1,0.75,0.857143
222,0.8,1,0.888889
223,0.666667,1,0.8
224,1,1,1
225,0.5,1,0.666667
226,0.8,1,0.888889
227,0.8,1,0.888889
228,0.444444,1,0.615385
229,1,1,1
230,0.00293255,1,0.00584795
231,1,1,1
232,0.8,1,0.888889
233,1,1,1
234,0.5,1,0.666667
235,0.129032,1,0.228571
236,1,1,1
237,0.00542005,1,0.0107817
238,1,1,1
239,0.8,1,0.888889
240,0.571429,1,0.727273
241,0.8,1,0.888889
242,1,0.75,0.857143
243,0.666667,1,0.8
244,1,1,1
245,1,1,1
246,1,1,1
247,0.8,1,0.888889
248,1,1,1
249,0.8,1,0.888889
250,0.00331126,1,0.00660066
251,1,1,1
252,1,1,1
253,1,1,1
254,0.8,1,0.888889
255,1,1,1
256,0.666667,1,0.8
257,0.8,1,0.888889
258,0.6,1,0.75
259,1,1,1
260,0.5,1,0.666667
261,1,1,1
262,0.6,1,0.75
263,0.444444,1,0.615385
264,0.666667,1,0.8
265,1,1,1
266,1,1,1
267,1,1,1
268,0.75,1,0.857143
269,1,1,1
270,0.111111,0.75,0.193548
271,0.8,1,0.888889
272,0.571429,1,0.727273
273,1,1,1
274,1,1,1
275,0.8,1,0.888889
276,0.8,1,0.888889
277,1,1,1
278,0.8,1,0.888889
279,0.333333,1,0.5
280,1,1,1
281,0.666667,1,0.8
282,0.6,1,0.75
283,0.0689655,1,0.129032
284,0.666667,1,0.8
285,1,1,1
286,0.190476,1,0.32
287,0.8,1,0.888889
288,0.571429,1,0.727273
289,1,0.75,0.857143
290,1,1,1
291,0.8,1,0.888889
292,0.8,1,0.888889
293,0.666667,1,0.8
294,0.00987654,1,0.0195599
295,0.666667,1,0.8
296,1,0.75,0.857143
297,1,1,1
298,0.8,1,0.888889
299,0.8,1,0.888889
300,1,1,1
301,0.444444,1,0.615385
302,1,1,1
303,1,1,1
304,1,0.75,0.857143
305,1,0.75,0.857143
306,0.307692,1,0.470588
307,0.666667,1,0.8
308,0.8,1,0.888889
309,0.8,1,0.888889
310,0.363636,1,0.533333
311,1,1,1
312,1,1,1
313,1,1,1
314,0.555556,1,0.714286
315,0.714286,1,0.833333
316,0.666667,1,0.8
317,1,0.8,0.888889
318,0.714286,1,0.833333
319,0.0462963,1,0.0884956
320,1,1,1
321,0.625,1,0.769231
322,0.00984252,1,0.0194932
323,0.555556,1,0.714286
324,0.625,1,0.769231
325,1,1,1
326,1,1,1
327,0.5,1,0.666667
328,0.666667,1,0.8
329,0.833333,1,0.909091
330,1,1,1
331,0.714286,1,0.833333
332,0.208333,1,0.344828
333,1,1,1
334,0.00540541,1,0.0107527
335,1,1,1
336,1,1,1
337,1,1,1
338,0.833333,1,0.909091
339,0.5,1,0.666667
340,0.714286,1,0.833333
341,0.111111,1,0.2
342,0.833333,1,0.909091
343,0.833333,1,0.909091
344,0.714286,1,0.833333
345,1,1,1
346,0.714286,1,0.833333
347,1,1,1
348,0.75,1,0.857143
349,0.625,1,0.769231
350,0.833333,1,0.909091
351,0.75,1,0.857143
352,1,1,1
353,0.0165017,1,0.0324675
354,1,1,1
355,0.833333,1,0.909091
356,1,1,1
357,0.625,1,0.769231
358,0.666667,1,0.8
359,0.714286,1,0.833333
360,1,1,1
361,1,0.8,0.888889
362,0.833333,1,0.909091
363,1,1,1
364,1,1,1
365,0.277778,1,0.434783
366,0.625,1,0.769231
367,1,1,1
368,0.833333,1,0.909091
369,0.128205,1,0.227273
370,1,1,1
371,1,1,1
372,0.833333,1,0.909091
373,1,1,1
374,0.714286,1,0.833333
375,0.714286,1,0.833333
376,0.8,1,0.888889
377,0.625,1,0.769231
378,0.000968992,1,0.00193611
379,1,1,1
380,0.833333,1,0.909091
381,0.75,1,0.857143
382,0.8,1,0.888889
383,0.714286,1,0.833333
384,0.833333,1,0.909091
385,0.178571,1,0.30303
386,0.555556,1,0.714286
387,1,1,1
388,0.833333,1,0.909091
389,0.833333,1,0.909091
390,0.0185874,1,0.0364964
391,0.714286,1,0.833333
392,0.6,1,0.75
393,0.625,1,0.769231
394,0.833333,1,0.909091
395,1,1,1
396,0.714286,1,0.833333
397,0.833333,1,0.909091
398,0.3125,1,0.47619
399,1,1,1
400,1,0.8,0.888889
401,1,1,1
402,0.714286,1,0.833333
403,0.357143,1,0.526316
404,0.357143,1,0.526316
405,1,1,1
406,1,1,1
407,0.454545,1,0.625
408,0.833333,1,0.909091
409,0.625,1,0.769231
410,0.714286,1,0.833333
411,0.555556,1,0.714286
412,0.555556,1,0.714286
413,1,1,1
414,1,1,1
415,0.148148,1,0.258065
416,1,1,1
417,1,1,1
418,0.00902935,1,0.0178971
419,1,1,1
420,0.555556,1,0.714286
421,0.555556,1,0.714286
422,1,1,1
423,0.833333,1,0.909091
424,0.833333,1,0.909091
425,0.666667,1,0.8
426,0.625,1,0.769231
427,1,1,1
428,0.8,1,0.888889
429,0.555556,1,0.714286
430,0.833333,1,0.909091
431,0.625,1,0.769231
432,0.714286,1,0.833333
433,1,1,1
434,0.833333,1,0.909091
435,0.833333,1,0.909091
436,1,1,1
437,1,1,1
438,0.0140187,1,0.0276498
439,0.571429,1,0.727273
440,0.625,1,0.769231
441,1,1,1
442,0.555556,1,0.714286
443,0.625,1,0.769231
444,0.00749625,1,0.014881
445,0.8,1,0.888889
446,0.833333,1,0.909091
447,0.357143,1,0.526316
448,1,1,1
449,1,1,1
450,0.75,1,0.857143
451,0.00309215,1,0.00616523
452,0.714286,1,0.833333
453,0.0160772,1,0.0316456
454,0.833333,1,0.909091
455,1,1,1
456,0.75,1,0.857143
457,1,1,1
458,0.00499002,1,0.00993049
459,0.00349345,1,0.00696258
460,0.192308,1,0.322581
461,0.121951,1,0.217391
462,1,1,1
463,0.833333,1,0.909091
464,1,1,1
465,1,1,1
466,1,1,1
467,0.666667,1,0.8
468,1,1,1
469,0.0357143,1,0.0689655
470,1,1,1
471,0.833333,1,0.909091
472,0.666667,1,0.8
473,1,1,1
474,0.00818331,1,0.0162338
475,1,1,1
476,0.714286,1,0.833333
477,0.5,1,0.666667
478,0.666667,1,0.8
479,1,1,1
480,0.0961538,1,0.175439
481,0.384615,1,0.555556
482,0.833333,1,0.909091
483,1,1,1
484,0.714286,1,0.833333
485,0.666667,1,0.8
486,0.333333,1,0.5
487,0.5,1,0.666667
488,0.833333,1,0.909091
489,1,1,1
490,0.555556,1,0.714286
491,1,1,1
492,0.625,1,0.769231
493,0.625,1,0.769231
494,1,1,1
495,0.8,1,0.888889
496,1,1,1
497,1,1,1
498,0.5,1,0.666667
499,0.714286,1,0.833333
500,1,1,1
501,0.666667,1,0.8
502,1,1,1
503,0.666667,1,0.8
504,0.285714,1,0.444444
505,0.5,1,0.666667
506,0.75,1,0.857143
507,0.375,1,0.545455
508,0.666667,1,0.8
509,0.857143,1,0.923077
510,0.857143,1,0.923077
511,0.6,1,0.75
512,0.857143,1,0.923077
513,0.857143,1,0.923077
514,0.75,1,0.857143
515,0.333333,1,0.5
516,0.666667,1,0.8
517,0.833333,1,0.909091
518,0.857143,1,0.923077
