id,precision,recall,f1
0,0.652174,0.660377,0.65625
1,0.0273356,1,0.0532166
2,0.119588,1,0.213628
3,0.106589,0.964912,0.191972
4,0.52381,0.88,0.656716
5,0.0539756,0.788136,0.101032
6,0.362319,0.952381,0.524934
7,0.219868,0.892473,0.352816
8,0.1016,0.92029,0.182997
9,0.414414,0.978723,0.582278
10,0.8,0.861538,0.82963
11,0.325,0.787879,0.460177
12,0.209836,0.901408,0.340426
13,0.146341,1,0.255319
14,0.277087,0.962963,0.430345
15,0.41637,0.89313,0.567961
16,0.640909,0.965753,0.770492
17,0.443686,0.935252,0.601852
18,0.467662,0.746032,0.574924
19,0.176568,0.963964,0.298466
20,0.364372,0.54878,0.437956
21,0.213992,0.945455,0.348993
22,0.78,0.917647,0.843243
23,0.552632,0.807692,0.65625
24,0.559524,0.810345,0.661972
25,0.469697,0.331551,0.388715
26,0.22561,0.986667,0.367246
27,0.740741,0.869565,0.8
28,0.0819964,0.958333,0.151067
29,0.415254,1,0.586826
30,0.0512821,1,0.097561
31,0.455172,0.942857,0.613953
32,0.593023,0.421488,0.492754
33,0.0342988,1,0.0663228
34,0.136646,0.407407,0.204651
35,0.488636,0.883562,0.629268
36,0.165165,1,0.283505
37,0.160839,0.766667,0.265896
38,0.535714,0.625,0.576923
39,0.162362,0.415094,0.233422
40,0.785714,0.916667,0.846154
41,0.13271,0.8875,0.230894
42,0.568421,0.830769,0.675
43,0.4,0.0898876,0.146789
44,0.28125,0.683544,0.398524
45,0.0855978,1,0.157697
46,0.75,0.56044,0.641509
47,0.230137,0.988235,0.373333
48,0.844828,0.924528,0.882883
49,0.0833333,0.981818,0.153627
50,0.121795,0.844444,0.212885
51,0.438017,0.779412,0.560847
52,0.733333,0.820896,0.774648
53,0.205263,0.735849,0.320988
54,0.0882016,0.865169,0.160083
55,0.456311,0.933775,0.613043
56,0.334225,0.672043,0.446429
57,0.447761,0.661765,0.534125
58,0.723404,0.829268,0.772727
59,0.491071,0.859375,0.625
60,0.053664,0.833333,0.100834
61,0.133898,0.849462,0.231332
62,0.742857,0.639344,0.687225
63,0.451883,0.9,0.601671
64,0.122302,0.223684,0.15814
65,0.376682,0.893617,0.529968
66,0.244792,0.886792,0.383673
67,0.392562,0.693431,0.501319
68,0.382353,0.912281,0.53886
69,0.155116,1,0.268571
70,0.0419935,0.968085,0.0804954
71,0.495935,0.897059,0.638743
72,0.66443,0.697183,0.680412
73,0.239748,0.431818,0.308316
74,0.058129,0.969697,0.109683
75,0.840909,0.770833,0.804348
76,0.105263,0.96,0.189723
77,0.414201,0.886076,0.564516
78,0.188889,0.817308,0.306859
79,0.565217,0.981132,0.717241
80,0.494186,0.73913,0.592334
81,0.25947,0.88961,0.40176
82,0.623288,0.64539,0.634146
83,0.275862,0.918033,0.424242
84,0.169279,1,0.289544
85,0.0752916,0.986111,0.139901
86,0.241237,0.75974,0.366197
87,0.428571,0.849558,0.569733
88,0.413043,0.904762,0.567164
89,0.184588,0.887931,0.305638
90,0.488636,0.477778,0.483146
91,0.106529,1,0.192547
92,0.242604,0.694915,0.359649
93,0.771739,0.771739,0.771739
94,0.127745,1,0.226549
95,0.314286,1,0.478261
96,0.17402,1,0.296451
97,0.315789,0.736842,0.442105
98,0.169312,0.969697,0.288288
99,0.446281,0.439024,0.442623
100,0.0366534,0.884615,0.0703902
101,0.113333,1,0.203593
102,0.4,0.947368,0.5625
103,0.231884,1,0.376471
104,0.71134,0.851852,0.775281
105,0.344828,0.945946,0.505415
106,0.146523,0.994382,0.255411
107,0.195219,0.720588,0.30721
108,0.129386,0.951613,0.227799
109,0.222222,1,0.363636
110,0.378082,0.938776,0.539062
111,0.012987,0.990099,0.0256377
112,0.317647,0.296703,0.306818
113,0.792453,0.863014,0.82623
114,0.461538,0.794118,0.583784
115,0.423077,0.859375,0.56701
116,0.404762,0.809524,0.539683
117,0.331522,0.924242,0.488
118,0.272265,0.862903,0.413926
119,0.701987,0.785185,0.741259
120,0.556604,0.907692,0.690058
121,0.293605,0.990196,0.452915
122,0.260759,0.936364,0.407921
123,0.1875,0.244565,0.212264
124,0.779661,0.851852,0.814159
125,0.723404,0.196532,0.309091
126,0.492958,0.714286,0.583333
127,0.296512,0.953271,0.452328
128,0.785714,0.967033,0.866995
129,0.228916,0.863636,0.361905
130,0.337662,0.962963,0.5
131,0.484076,0.853933,0.617886
132,0.330144,0.775281,0.463087
133,0.0617801,1,0.116371
134,0.244582,0.9875,0.39206
135,0.40873,0.656051,0.503667
136,0.424581,0.76,0.544803
137,0.147385,0.989362,0.256552
138,0.159204,0.372093,0.222997
139,0.567797,0.797619,0.663366
140,0.568493,0.976471,0.718615
141,0.237624,0.96,0.380952
142,0.240385,0.775194,0.366972
143,0.785714,0.75,0.767442
144,0.280702,0.979592,0.436364
145,0.656627,0.595628,0.624642
146,0.611765,0.684211,0.645963
147,0.481481,0.915493,0.631068
148,0.275862,0.733333,0.400911
149,0.119461,0.96875,0.212693
150,0.266667,0.952381,0.416667
151,0.45679,0.792857,0.579634
152,0.641509,0.910714,0.752768
153,0.0122893,0.945946,0.0242634
154,0.390805,0.957746,0.555102
155,0.192982,0.22449,0.207547
156,0.111475,0.409639,0.175258
157,0.367213,0.842105,0.511416
158,0.0511084,0.988095,0.0971897
159,0.182353,0.534483,0.27193
160,0.613497,0.746269,0.673401
161,0.313916,0.678322,0.429204
162,0.120805,1,0.215569
163,0.42268,0.953488,0.585714
164,0.61157,0.560606,0.58498
165,0.265896,0.971831,0.417549
166,0.56044,0.980769,0.713287
167,0.385417,0.496644,0.434018
168,0.159601,1,0.275269
169,0.26281,0.883333,0.405096
170,0.534483,0.96875,0.688889
171,0.0433898,0.984615,0.0831169
172,0.699454,0.785276,0.739884
173,0.0831782,0.899329,0.152273
174,0.253731,0.816,0.387097
175,0.113978,0.353333,0.172358
176,0.448468,0.909605,0.600746
177,0.197995,0.918605,0.325773
178,0.171756,0.918367,0.289389
179,0.481752,0.929577,0.634615
180,0.228448,0.40458,0.292011
181,0.674603,0.611511,0.641509
182,0.262931,0.968254,0.413559
183,0.274725,0.543478,0.364964
184,0.686747,0.295337,0.413043
185,0.441964,0.738806,0.553073
186,0.523077,0.507463,0.515152
187,0.00219687,1,0.00438412
188,0.254005,0.902439,0.396429
189,0.705882,0.9,0.791209
190,0.395833,0.575758,0.469136
191,0.365385,1,0.535211
192,0.101796,0.883117,0.18255
193,0.649573,0.844444,0.7343
194,0.439189,0.833333,0.575221
195,0.232323,0.771812,0.357143
196,0.070691,0.946809,0.131559
197,0.128079,1,0.227074
198,0.796296,0.977273,0.877551
199,0.335958,0.977099,0.5
200,0.693548,0.735043,0.713693
201,0.676056,0.864865,0.758893
202,0.382514,0.777778,0.512821
203,0.316964,0.860606,0.463295
204,0.716814,0.84375,0.77512
205,0.21519,0.971429,0.352332
206,0.0595358,1,0.112381
207,0.504132,0.871429,0.638743
208,0.651741,0.916084,0.761628
209,0.0729387,0.985714,0.135827
210,0.341969,0.88,0.492537
211,0.129412,0.370787,0.19186
212,0.408333,0.685315,0.511749
213,0.701754,0.421053,0.526316
214,0.177419,0.733333,0.285714
215,0.0914928,1,0.167647
216,0.272997,0.938776,0.422989
217,0.179191,1,0.303922
218,0.72619,0.748466,0.73716
219,0.806723,0.813559,0.810127
220,0.416667,0.641711,0.505263
221,0.740741,0.555556,0.634921
222,0.0917553,0.784091,0.164286
223,0.53271,0.95,0.682635
224,0.818182,1,0.9
225,0.215116,0.276119,0.24183
226,0.053656,0.971429,0.101695
227,0.449541,0.735,0.557875
228,0.878049,0.8,0.837209
229,0.357143,0.982143,0.52381
230,0.0557656,1,0.10564
231,0.0868014,0.973333,0.159389
232,0.166667,0.876543,0.280079
233,0.155738,0.982759,0.268868
234,0.694656,0.5,0.58147
235,0.581699,0.855769,0.692607
236,0.642105,0.685393,0.663043
237,0.15894,0.695652,0.25876
238,0.0643154,0.823009,0.119307
239,0.213823,0.980198,0.351064
240,0.493927,0.99187,0.659459
241,0.222222,0.861111,0.353276
242,0.32971,0.8125,0.469072
243,0.454545,0.516129,0.483384
244,0.094041,0.87069,0.169748
245,0.146199,1,0.255102
246,0.54,0.8,0.644776
247,0.282946,0.986486,0.439759
248,0.477011,0.902174,0.62406
249,0.0778626,1,0.144476
250,0.156328,1,0.270386
251,0.229602,0.864286,0.362819
252,0.6125,0.6125,0.6125
253,0.657895,0.441176,0.528169
254,0.52381,0.888889,0.659176
255,0.529915,0.953846,0.681319
256,0.205882,1,0.341463
257,0.210407,0.93,0.343173
258,0.142615,1,0.249629
259,0.239295,0.748031,0.362595
260,0.573427,0.921348,0.706897
261,0.0595813,0.986667,0.112377
262,0.200772,0.852459,0.325
263,0.196429,0.748691,0.311208
264,0.346535,0.71066,0.46589
265,0.297222,0.891667,0.445833
266,0.206061,0.944444,0.338308
267,0.208609,0.926471,0.340541
268,0.24581,0.785714,0.374468
269,0.707965,0.930233,0.80402
270,0.130579,0.9875,0.230657
271,0.148515,0.497238,0.228717
272,0.108833,0.8625,0.193277
273,0.0972763,0.19685,0.130208
274,0.494505,0.833333,0.62069
275,0.107632,1,0.194346
276,0.120818,1,0.215589
277,0.106419,0.940299,0.191199
278,0.415385,0.734694,0.530713
279,0.54,0.75,0.627907
280,0.0416387,0.712644,0.0786802
281,0.265873,0.449664,0.334165
282,0.245989,0.807018,0.377049
283,0.183019,0.960396,0.307448
284,0.172996,0.594203,0.267974
285,0.682927,0.903226,0.777778
286,0.202899,0.949153,0.334328
287,0.531915,0.694444,0.60241
288,0.760684,0.927083,0.835681
289,0.168378,1,0.288225
290,0.153132,1,0.265594
291,0.787037,0.714286,0.748899
292,0.38125,0.787097,0.513684
293,0.13141,0.88172,0.228731
294,0.120301,0.941176,0.213333
295,0.168394,0.970149,0.286976
296,0.216814,0.942308,0.352518
297,0.147268,1,0.256729
298,0.165509,0.916667,0.280392
299,0.635294,0.624277,0.629738
300,0.242424,0.8,0.372093
301,0.363971,0.961165,0.528
302,0.0539166,1,0.102317
303,0.128655,0.916667,0.225641
304,0.192771,0.872727,0.315789
305,0.237389,0.930233,0.378251
306,0.0974843,0.978947,0.177312
307,0.515385,0.736264,0.606335
308,0.164062,1,0.281879
309,0.54,0.794118,0.642857
310,0.286517,0.889535,0.433428
311,0.703448,0.910714,0.793774
312,0.34507,0.809917,0.483951
313,0.438596,0.634518,0.518672
314,0.143123,0.9625,0.249191
315,0.315217,0.90625,0.467742
316,0.569378,0.767742,0.653846
317,0.0606759,0.9875,0.114327
318,0.181818,0.986301,0.307036
319,0.811594,0.982456,0.888889
320,0.636364,0.7,0.666667
321,0.119427,0.993377,0.21322
322,0.445902,0.839506,0.582441
323,0.733333,0.862745,0.792793
324,0.0652034,1,0.122424
325,0.210165,0.780612,0.331169
326,0.0730994,0.943396,0.135685
327,0.702703,0.857143,0.772277
328,0.217742,0.987805,0.356828
329,0.59292,0.770115,0.67
330,0.347328,0.91,0.502762
331,0.027512,0.978723,0.0535195
332,0.547826,1,0.707865
333,0.111498,0.984615,0.200313
334,0.159292,0.964286,0.273418
335,0.372624,0.882883,0.524064
336,0.833333,0.775862,0.803571
337,0.361979,0.932886,0.521576
338,0.133621,1,0.235741
339,0.410714,0.811765,0.545455
340,0.286127,0.585799,0.384466
341,0.125448,1,0.22293
342,0.535032,0.857143,0.658824
343,0.0437956,0.886364,0.0834671
344,0.601266,0.555556,0.577508
345,0.123552,0.827586,0.215006
346,0.240793,0.977011,0.386364
347,0.132203,0.22807,0.167382
348,0.162791,0.960784,0.278409
349,0.611111,0.532258,0.568966
350,0.331325,0.846154,0.47619
351,0.546185,0.834356,0.660194
352,0.224806,0.991453,0.366509
353,0.675325,0.675325,0.675325
354,0.306748,0.787402,0.441501
355,0.0640543,1,0.120397
356,0.0896686,0.867925,0.162544
357,0.77027,0.890625,0.826087
358,0.291005,0.932203,0.443548
359,0.421296,0.80531,0.553191
360,0.315789,0.979592,0.477612
361,0.106863,0.915966,0.191396
362,0.307692,0.926316,0.461942
363,0.325967,0.728395,0.450382
364,0.353211,0.810526,0.492013
365,0.459459,0.894737,0.607143
366,0.745098,0.926829,0.826087
367,0.263578,0.846154,0.401949
368,0.520833,0.925926,0.666667
369,0.278049,0.904762,0.425373
370,0.394737,0.552632,0.460526
371,0.424419,0.820225,0.559387
372,0.478992,0.678571,0.561576
373,0.561404,0.653061,0.603774
374,0.161889,0.950495,0.276657
375,0.333333,0.395161,0.361624
376,0.521368,0.792208,0.628866
377,0.503759,0.770115,0.609091
378,0.526316,0.756757,0.620843
379,0.0852713,0.956522,0.156584
380,0.454545,0.754717,0.567376
381,0.586498,0.723958,0.648019
382,0.0950764,0.982456,0.173375
383,0.104693,0.90625,0.187702
384,0.432749,0.632479,0.513889
385,0.0501672,1,0.0955414
386,0.369369,0.87234,0.518987
387,0.336,0.466667,0.390698
388,0.685185,0.755102,0.718447
389,0.446309,0.678571,0.538462
390,0.479401,0.707182,0.571429
391,0.350365,0.90566,0.505263
392,0.395062,0.646465,0.490421
393,0.325893,0.901235,0.478689
394,0.447154,0.679012,0.539216
395,0.150685,0.673469,0.246269
396,0.514451,0.546012,0.529762
397,0.408759,0.756757,0.530806
398,0.174551,0.537688,0.263547
399,0.235405,0.968992,0.378788
400,0.626168,0.87013,0.728261
401,0.817391,0.79661,0.806867
402,0.362963,0.890909,0.515789
403,0.215859,0.816667,0.341463
404,0.0578603,0.883333,0.108607
405,0.473538,0.899471,0.620438
406,0.219814,0.946667,0.356784
407,0.387812,0.732984,0.507246
408,0.653179,0.856061,0.740984
409,0.609524,0.955224,0.744186
410,0.39645,0.656863,0.494465
411,0.614865,0.684211,0.647687
412,0.174074,0.566265,0.266289
413,0.271293,1,0.426799
414,0.0502611,1,0.0957116
415,0.440613,0.798611,0.567901
416,0.510638,0.45283,0.48
417,0.305263,0.508772,0.381579
418,0.372881,0.814815,0.511628
419,0.75,1,0.857143
420,0.131922,1,0.233094
421,0.773333,0.508772,0.613757
422,0.16269,0.925926,0.276753
423,0.345725,0.920792,0.502703
424,0.261682,0.7,0.380952
425,0.033394,1,0.0646298
426,0.709677,0.725275,0.717391
427,0.360111,0.915493,0.516899
428,0.243346,0.955224,0.387879
429,0.671233,0.790323,0.725926
430,0.257143,0.880435,0.398034
431,0.116013,1,0.207906
432,0.103226,1,0.187135
433,0.396985,0.940476,0.558304
434,0.526316,0.291971,0.375587
435,0.020526,1,0.0402263
436,0.216463,0.771739,0.338095
437,0.712121,0.886792,0.789916
438,0.780488,0.842105,0.810127
439,0.0843653,0.981982,0.155381
440,0.589474,0.875,0.704403
441,0.384906,0.728571,0.503704
442,0.676349,0.987879,0.802956
443,0.196532,0.957746,0.326139
444,0.0397083,1,0.0763835
445,0.52093,0.848485,0.645533
446,0.246418,0.86,0.383073
447,0.111322,0.93617,0.198982
448,0.1893,0.851852,0.309764
449,0.0931373,0.966102,0.169896
450,0.0702479,0.971429,0.131021
451,0.251613,0.609375,0.356164
452,0.677778,0.677778,0.677778
453,0.362903,0.75,0.48913
454,0.167059,1,0.28629
455,0.785714,1,0.88
456,0.0592695,1,0.111906
457,0.476636,0.962264,0.6375
458,0.126629,0.747253,0.216561
459,0.116054,0.983607,0.207612
460,0.515625,0.88,0.650246
461,0.056501,0.988095,0.10689
462,0.162362,0.333333,0.218362
463,0.0703259,0.594203,0.125767
464,0.0971129,0.961039,0.1764
465,0.226619,0.75,0.348066
466,0.371041,0.901099,0.525641
467,0.59854,0.88172,0.713043
468,0.328063,0.85567,0.474286
469,0.134078,0.45283,0.206897
470,0.111268,0.975309,0.199747
471,0.209375,0.917808,0.340967
472,0.496855,0.724771,0.589552
473,0.77907,0.587719,0.67
474,0.412621,0.894737,0.564784
475,0.48289,0.717514,0.577273
476,0.0931744,0.988506,0.170297
477,0.111111,1,0.2
478,0.0804455,0.984848,0.148741
479,0.657143,0.884615,0.754098
480,0.388889,0.601562,0.472393
481,0.114878,1,0.206081
482,0.312941,0.943262,0.469965
483,0.0748718,0.986486,0.13918
484,0.317536,0.577586,0.409786
485,0.644444,0.865672,0.738854
486,0.232558,0.714286,0.350877
487,0.0965795,1,0.176147
488,0.222222,0.857143,0.352941
489,0.10119,0.971429,0.183288
490,0.357143,0.918367,0.514286
491,0.182203,0.877551,0.301754
492,0.901408,1,0.948148
493,0.612403,0.686957,0.647541
494,0.20029,0.926174,0.329356
495,0.471014,0.984848,0.637255
496,0.557377,0.653846,0.60177
497,0.191972,0.88,0.315186
498,0.136891,0.819444,0.234592
499,0.359281,0.952381,0.521739
500,0.401869,0.728814,0.518072
501,0.0837209,0.9,0.153191
502,0.353503,0.847328,0.498876
503,0.189364,0.993197,0.318083
504,0.571429,0.95,0.713615
505,0.309179,0.477612,0.375367
506,0.463415,1,0.633333
507,0.141538,0.92,0.245333
508,0.23301,0.923077,0.372093
509,0.108025,0.875,0.192308
510,0.0790173,0.875,0.144945
511,0.669565,0.403141,0.503268
512,0.555,0.940678,0.698113
513,0.589404,0.936842,0.723577
514,0.909091,1,0.952381
515,0.654206,0.721649,0.686275
516,0.120332,0.925532,0.212974
517,0.947368,0.947368,0.947368
518,0.173295,0.508333,0.258475
519,0.362745,0.850575,0.508591
520,0.17331,0.724638,0.27972
521,0.601227,0.547486,0.573099
522,0.513932,0.922222,0.66004
523,0.10865,0.903509,0.193974
524,0.705882,0.9,0.791209
525,0.579787,0.872,0.696486
526,0.489655,0.731959,0.586777
527,0.305389,1,0.46789
528,0.331658,0.573913,0.420382
529,0.525641,0.650794,0.58156
530,0.469388,0.567901,0.513966
531,0.680328,0.653543,0.666667
532,0.424,0.990654,0.593838
533,0.537634,0.290698,0.377358
534,0.444444,0.962963,0.608187
535,0.690141,0.954545,0.80109
536,0.0706244,0.971831,0.131679
537,0.254753,0.893333,0.39645
538,0.456693,0.865672,0.597938
539,0.424929,0.824176,0.560748
540,0.19726,0.827586,0.318584
541,0.0662932,1,0.124343
542,0.0078869,1,0.0156504
543,0.473934,0.584795,0.52356
544,0.0954861,0.973451,0.173913
545,0.29932,0.455959,0.361396
546,0.350962,0.695238,0.466454
547,0.0614224,1,0.115736
548,0.344595,0.927273,0.502463
549,0.215217,1,0.354204
550,0.69,0.811765,0.745946
551,0.286145,0.725191,0.410367
552,0.47482,0.605505,0.532258
553,0.208571,0.986486,0.34434
554,0.286713,0.759259,0.416244
555,0.716049,0.966667,0.822695
556,0.697479,0.528662,0.601449
557,0.0353857,1,0.0683527
558,0.292373,0.971831,0.449511
559,0.204082,0.6,0.304569
560,0.032566,1,0.0630778
561,0.0944056,1,0.172524
562,0.716667,0.895833,0.796296
563,0.426667,0.744186,0.542373
564,0.628788,0.775701,0.694561
565,0.215447,0.768116,0.336508
566,0.441176,0.932203,0.598911
567,0.501608,0.945455,0.655462
568,0.469072,0.91,0.619048
569,0.0669078,0.891566,0.124474
570,0.195021,0.886792,0.319728
571,0.74359,0.737288,0.740426
572,0.878049,0.9,0.888889
573,0.203762,1,0.338542
574,0.247899,0.921875,0.390728
575,0.495413,0.453782,0.473684
576,0.527132,0.690355,0.597802
577,0.147122,0.802326,0.248649
578,0.22973,0.962264,0.370909
579,0.297521,0.96,0.454259
580,0.563291,0.864078,0.681992
581,0.141899,0.690217,0.235403
582,0.536424,0.698276,0.606742
583,0.067053,0.861702,0.124424
584,0.4,0.606742,0.482143
585,0.839286,0.94,0.886792
586,0.0479148,0.990826,0.0914092
587,0.5,0.784946,0.610879
588,0.489362,0.901961,0.634483
589,0.128329,0.981481,0.226981
590,0.208,0.525253,0.297994
591,0.171875,0.820896,0.284238
592,0.128155,1,0.227194
593,0.167139,0.487603,0.248945
594,0.646018,0.960526,0.772487
595,0.455882,0.775,0.574074
596,0.0889894,0.678161,0.157333
597,0.222973,0.985075,0.363636
598,0.260586,0.963855,0.410256
599,0.138249,0.952381,0.241449
600,0.540881,0.677165,0.601399
601,0.395349,0.894737,0.548387
602,0.418033,0.703448,0.524422
603,0.617834,0.788618,0.692857
604,0.276423,0.883117,0.421053
605,0.644737,0.757732,0.696682
606,0.0453421,1,0.0867508
607,0.451777,0.700787,0.549383
608,0.0994953,0.985714,0.180747
609,0.235,0.94,0.376
610,0.079661,1,0.147567
611,0.527473,0.653061,0.583587
612,0.0995204,0.954023,0.180239
613,0.206751,1,0.342657
614,0.121212,1,0.216216
615,0.156863,0.702703,0.256473
616,0.425743,0.544304,0.477778
617,0.458333,0.601562,0.52027
618,0.39823,0.9375,0.559006
619,0.828125,0.546392,0.658385
620,0.828829,0.70229,0.760331
621,0.136253,0.397163,0.202899
622,0.685714,0.90566,0.780488
623,0.157975,0.705479,0.258145
624,0.262605,0.968992,0.413223
625,0.145455,0.2,0.168421
626,0.511628,0.814815,0.628571
627,0.291667,1,0.451613
628,0.741935,0.978723,0.844037
629,0.566667,0.619792,0.59204
630,0.348643,0.932961,0.507599
631,0.437768,0.918919,0.593023
632,0.30303,0.864198,0.448718
633,0.205539,0.946309,0.337725
634,0.136842,0.847826,0.23565
635,0.461078,0.905882,0.611111
636,0.195062,0.503185,0.281139
637,0.391608,0.772414,0.519722
638,0.0643322,0.9875,0.120795
639,0.441558,0.390805,0.414634
640,0.205202,0.959459,0.338095
641,0.637681,0.830189,0.721311
642,0.0549321,1,0.104143
643,0.324444,0.715686,0.446483
644,0.503268,0.484277,0.49359
645,0.22082,1,0.361757
646,0.240964,0.550459,0.335196
647,0.171913,0.403409,0.241087
648,0.176829,0.659091,0.278846
649,0.133971,0.982456,0.235789
650,0.150943,0.901408,0.258586
651,0.17341,1,0.295567
652,0.396552,0.676471,0.5
653,0.354331,0.789474,0.48913
654,0.14121,0.890909,0.243781
655,0.0416233,0.987654,0.0798802
656,0.724138,0.512195,0.6
657,0.0402085,1,0.0773085
658,0.150074,0.537234,0.234611
659,0.145553,1,0.254118
660,0.78125,0.735294,0.757576
661,0.644444,0.878788,0.74359
662,0.0945758,1,0.172808
663,0.400447,0.913265,0.556765
664,0.651163,0.504505,0.568528
665,0.575758,0.686747,0.626374
666,0.198783,0.790323,0.317666
667,0.407563,0.723881,0.521505
668,0.396226,0.851351,0.540773
669,0.141962,0.957746,0.247273
670,0.340237,0.676471,0.452756
671,0.6875,0.846154,0.758621
672,0.254237,0.925926,0.398936
673,0.0659341,0.84,0.122271
674,0.0175709,1,0.034535
